expression,reading,meaning,meaning_indonesia,tags,guid
現像,げんぞう,developing (film),pengembangan film (fotografi); pencucian film,JLPT_1 JLPT,v9bha+<cj}
原則,げんそく,"principle, general rule","prinsip, aturan umum",JLPT_1 JLPT,dVC[`t${#`
見地,けんち,point of view,sudut pandang,JLPT_1 JLPT,wk)a!>hpi:
現地,げんち,"actual place, local","tempat sebenarnya, lokal",JLPT_1 JLPT,G$>SwAUY5:
限定,げんてい,"limit, restriction","batas, pembatasan",JLPT_1 JLPT,o%F/8(![P3
原点,げんてん,"origin (coordinates, starting point)","asal (koordinat, titik awal)",JLPT_1 JLPT,bXdt~Sz`DP
原典,げんてん,"original, source","asli, sumber",JLPT_1 JLPT,EB`MVeV|+3
原爆,げんばく,atomic bomb,bom atom,JLPT_1 JLPT,qVu!~xa[nC
原文,げんぶん,"the text, original","teksnya, asli",JLPT_1 JLPT,w>egRzs&//
厳密,げんみつ,"strict, close","ketat, dekat",JLPT_1 JLPT,k<}V}HBo:Y
賢明,けんめい,"wisdom, intelligence, prudence","kebijaksanaan, kecerdasan, kehati-hatian",JLPT_1 JLPT,rF6VPIq@Kt
倹約,けんやく,"thrift, economy, frugality","penghematan, ekonomi, berhemat",JLPT_1 JLPT,G)qGN7wCPF
原油,げんゆ,crude oil,minyak mentah,JLPT_1 JLPT,mqzQ4phBV%
兼用,けんよう,"multi-use, combined use","multi guna, penggunaan gabungan",JLPT_1 JLPT,Q[mY;6;Blm
権力,けんりょく,"(political) power, authority, influence","(politik) kekuasaan, otoritas, pengaruh",JLPT_1 JLPT,zLBVbQJht)
言論,げんろん,"discussion, speech","diskusi, pidato",JLPT_1 JLPT,j=]X!_Sn:<
故～,こ～,"deceased, late","meninggal, terlambat",JLPT_1 JLPT,l<k2Hl<qF:
語彙,ごい,"vocabulary, glossary","kosakata, glosarium",JLPT_1 JLPT,dg-x#L-S>s
恋する,こいする,"to fall in love with, to love","untuk jatuh cinta, untuk mencintai",JLPT_1 JLPT,x>yH@(e$>B
甲,こう,1st in rank; shell,peringkat 1;,JLPT_1 JLPT,gr(P$T&hE)
～光,～こう,light,lampu,JLPT_1 JLPT,dR[Ye:I0gD
好意,こうい,"good will, favor, courtesy","niat baik, bantuan, kesopanan",JLPT_1 JLPT,f{|~G`MfSc
行為,こうい,"act, deed, conduct","tindakan, perbuatan, tingkah laku",JLPT_1 JLPT,"x,?`vew_Y^"
合意,ごうい,"agreement, consent, mutual understanding","persetujuan, persetujuan, saling pengertian",JLPT_1 JLPT,u5DPHkD^67
工学,こうがく,engineering,rekayasa,JLPT_1 JLPT,nLBSX>%S~{
抗議,こうぎ,"protest, objection","protes, keberatan",JLPT_1 JLPT,N%yl^:99*x
合議,ごうぎ,"consultation, conference","konsultasi, konferensi",JLPT_1 JLPT,g]f7CW]TnO
皇居,こうきょ,Imperial Palace,Istana Kekaisaran,JLPT_1 JLPT,s3?rVk?BGD
好況,こうきょう,"prosperous conditions, healthy economy","kondisi sejahtera, perekonomian sehat",JLPT_1 JLPT,w5c/V*0:/6
鉱業,こうぎょう,mining industry,industri pertambangan,JLPT_1 JLPT,w)+*p6qI~s
興業,こうぎょう,starting a business; industry,memulai bisnis;,JLPT_1 JLPT,qy~me*:#E{
高原,こうげん,"tableland, plateau","dataran tinggi, dataran tinggi",JLPT_1 JLPT,GF2Ak`BNv1
交互,こうご,"mutual, reciprocal, alternate","saling, timbal balik, bergantian",JLPT_1 JLPT,i<WWSGhMtl
煌々と,こうこうと,brightly,cerah,JLPT_1 JLPT,wYY;?*yl=I
考古学,こうこがく,archeology,arkeologi,JLPT_1 JLPT,CYD1fRQ8EC
工作,こうさく,"handicraft, maneuvering","kerajinan tangan, manuver",JLPT_1 JLPT,wzz*)FRo9<
耕作,こうさく,"cultivation, farming","budidaya, pertanian",JLPT_1 JLPT,hB|/|8Uy}2
鉱山,こうざん,mine,milikku,JLPT_1 JLPT,"KT!enF:=,%"
講習,こうしゅう,"short course, training","kursus singkat, pelatihan",JLPT_1 JLPT,g(z7%o&?^
口述,こうじゅつ,verbal statement,pernyataan lisan,JLPT_1 JLPT,C~8oU(cK0?
控除,こうじょ,"subsidy, deduction","subsidi, pengurangan",JLPT_1 JLPT,s2uW?Na1t%
交渉,こうしょう,negotiation,perundingan,JLPT_1 JLPT Intermediate_Japanese_Ln.8 Intermediate_Japanese,uv@U[?I@AF
高尚,こうしょう,"high, noble, refined","tinggi, mulia, halus",JLPT_1 JLPT,Ndw<}.:V2o
向上,こうじょう,"rise, improvement, progress","kebangkitan, peningkatan, kemajuan",JLPT_1 JLPT,Qcz@t2UD0)
行進,こうしん,"march, parade","berbaris, parade",JLPT_1 JLPT,A=w}ZE@917
香辛料,こうしんりょう,spices,rempah-rempah,JLPT_1 JLPT,ce!{r.1}~3
降水,こうすい,"rainfall, precipitation","curah hujan, curah hujan",JLPT_1 JLPT,"pb1#Y263n,"
洪水,こうずい,flood,banjir,JLPT_1 JLPT,wakC-uKaq}
合成,ごうせい,"synthetic, mixed","sintetis, campuran",JLPT_1 JLPT,c^4E@A0[92
公然,こうぜん,openly,secara terbuka,JLPT_1 JLPT,M(>QOkIhfA
抗争,こうそう,"dispute, resistance","perselisihan, perlawanan",JLPT_1 JLPT,Ayw{S[ULVi
構想,こうそう,"plan, plot, idea, conception","rencana, alur, ide, konsepsi",JLPT_1 JLPT,HJ3]TaFI5x
後退,こうたい,"retreat, backspace","mundur, mundur",JLPT_1 JLPT,Hg(g(Ch73j
光沢,こうたく,"luster, glossy finish (of photographs)","kilau, hasil akhir mengkilap (dari foto)",JLPT_1 JLPT,sz+BIfx<J$
公団,こうだん,public corporation,perusahaan publik,JLPT_1 JLPT,C&5}~^z)ts
好調,こうちょう,"satisfactory, in good shape","memuaskan, dalam keadaan baik",JLPT_1 JLPT,fn+k2uN^.*
口頭,こうとう,oral,lisan,JLPT_1 JLPT,mWZ1nL&l+A
講読,こうどく,reading,membaca,JLPT_1 JLPT,"cbt]L<,==)"
購読,こうどく,subscription,berlangganan,JLPT_1 JLPT,BPBnR~`=Cm
購入,こうにゅう,"purchase, buy","beli, beli",JLPT_1 JLPT,mN.]${Ep@o
公認,こうにん,"official recognition, authorization","pengakuan resmi, otorisasi",JLPT_1 JLPT,f=;(Z+KSn*
光熱費,こうねつひ,cost of fuel and light,biaya bahan bakar dan cahaya,JLPT_1 JLPT,CBInEbAiwn
購買,こうばい,"purchase, buy","beli, beli",JLPT_1 JLPT,m|%voYE^yW
好評,こうひょう,"popularity, favorable reputation","popularitas, reputasi yang baik",JLPT_1 JLPT,PN?X>r5#3$
交付,こうふ,"delivering, furnishing (with copies)","pengiriman, perabotan (dengan salinan)",JLPT_1 JLPT,iWHq@iV7/S
公募,こうぼ,"public appeal, public contribution","daya tarik publik, kontribusi publik",JLPT_1 JLPT,zuO/%#|pw9
巧妙,こうみょう,"ingenious, skillful, clever","cerdik, terampil, pintar",JLPT_1 JLPT,K0cz7g4lOn
公用,こうよう,"government business, public use, public expense","urusan pemerintah, kepentingan umum, pengeluaran publik",JLPT_1 JLPT,E{n/tl9=Ih
小売,こうり,retail,pengecer,JLPT_1 JLPT,c_Z6-bZ>!E
効率,こうりつ,efficiency,efisiensi,JLPT_1 JLPT,zkc6-]4~)6
公立,こうりつ,public institution,lembaga publik,JLPT_1 JLPT,FUSldz(S$f
護衛,ごえい,"guard, convoy, escort","penjaga, konvoi, pengawal",JLPT_1 JLPT,Bs7a.5p1{r
コーナー,コーナー,corner,sudut,JLPT_1 JLPT,n/T(.dj~.j
小柄,こがら,"small, diminutive","kecil, kecil",JLPT_1 JLPT,p|m2.?zBm2
小切手,こぎって,"cheque, check","periksa, periksa",JLPT_1 JLPT,vh>Pgi:y!n
国産,こくさん,domestic products,produk dalam negeri,JLPT_1 JLPT,NVGuI`wyWr
国定,こくてい,"state-sponsored, national","disponsori negara, nasional",JLPT_1 JLPT,K:.NA{MA#
告白,こくはく,"confession, acknowledgment","pengakuan, pengakuan",JLPT_1 JLPT,D/-Yon@zj7
国防,こくぼう,national defense,pertahanan negara,JLPT_1 JLPT,gB_-ioo>5E
国有,こくゆう,national ownership,kepemilikan nasional,JLPT_1 JLPT,qhprC(Et1a
極楽,ごくらく,paradise,surga,JLPT_1 JLPT,MY-u/w:|X`
国連,こくれん,"U.N., United Nations","PBB, PBB",JLPT_1 JLPT,PWdSCAXCS{
焦げ茶,こげちゃ,dark brown,coklat tua,JLPT_1 JLPT,z#D(l+D|+d
語源,ごげん,"word root, word derivation, etymology","akar kata, derivasi kata, etimologi",JLPT_1 JLPT,"wW7;mB,H-n"
心地,ここち,"feeling, sensation, mood","perasaan, sensasi, suasana hati",JLPT_1 JLPT,HRZ-ZZ((63
心得,こころえ,"knowledge, information","pengetahuan, informasi",JLPT_1 JLPT,r]B:&#9/Oj
心掛け,こころがけ,"readiness, intention, aim","kesiapan, niat, tujuan",JLPT_1 JLPT,v|gKw*kSA<
心掛ける,こころがける,"to bear in mind, to aim to do","untuk diingat, untuk bertujuan untuk melakukan",JLPT_1 JLPT,xF|-#cu_O[
志,こころざし,"will, intention, motive","kemauan, niat, motif",JLPT_1 JLPT,J^EH*N|S>D
志す,こころざす,"to plan, to intend, to aspire to","merencanakan, bermaksud, mencita-citakan",JLPT_1 JLPT,zc/071N?*?
心強い,こころづよい,"heartening, reassuring","membesarkan hati, meyakinkan",JLPT_1 JLPT,K>pZg]2z_[
心細い,こころぼそい,"helpless, hopeless, discouraging","tak berdaya, putus asa, mengecewakan",JLPT_1 JLPT,ve[sU52iIO
試み,こころみ,"trial, experiment","percobaan, percobaan",JLPT_1 JLPT,LnQ-7#~J-i
試みる,こころみる,"to try, to test","untuk mencoba, untuk menguji",JLPT_1 JLPT,qG!ugw]O{9
快い,こころよい,"pleasant, agreeable","menyenangkan, menyenangkan",JLPT_1 JLPT,eXTY5f2Ubn
誤差,ごさ,error,kesalahan,JLPT_1 JLPT,bE*}iimu/k
ございます (かん),ございます (かん),"to be (polite, to exist)","menjadi (sopan, ada)",JLPT_1 JLPT,g2<)LlaRj=
孤児,こじ,orphan,yatim piatu,JLPT_1 JLPT,Nru>c@<pc2
こじれる,こじれる,"to get complicated, to grow worse","menjadi rumit, menjadi lebih buruk",JLPT_1 JLPT,jQE(/ITykr
こす (みずを～),こす (みずを～),"to strain, to filter","untuk menyaring, untuk menyaring",JLPT_1 JLPT,P2WNAwMh[2
梢,こずえ,treetop,puncak pohon,JLPT_1 JLPT,"P{..MI,|Mb"
個性,こせい,"individuality, personality, idiosyncrasy","individualitas, kepribadian, keistimewaan",JLPT_1 JLPT,EsL6l#sj?m
戸籍,こせき,"census, family register","sensus, daftar keluarga",JLPT_1 Intermediate_Japanese_Ln.14 JLPT Intermediate_Japanese,JOc{[NV4x8
古代,こだい,ancient times,zaman kuno,JLPT_1 JLPT,s_N1oO.lmA
こたつ,こたつ,"table with heater, (originally) charcoal brazier in a floor well","meja dengan pemanas, (awalnya) anglo arang di sumur lantai",JLPT_1 JLPT,O}EMl{I]K-
こだわる,こだわる,"to fuss over, to be particular about","untuk diributkan, untuk menjadi khusus",JLPT_1 JLPT,Dw-&[Gy8N`
誇張,こちょう,exaggeration,berlebihan,JLPT_1 JLPT,c]NsRC|}O%
こつ (をつかむ),こつ (をつかむ),"secret, trick, hang","rahasia, trik, gantung",JLPT_1 JLPT,qPHur}V8b$
滑稽,こっけい,"funny, humorous, comical","lucu, lucu, lucu",JLPT_1 JLPT,v>_m`mFbvz
国交,こっこう,diplomatic relations,hubungan diplomatik,JLPT_1 JLPT,d-(zI.D]7}
骨董品,こっとうひん,curio,rasa ingin tahu,JLPT_1 JLPT,Dr0mqScf_b
固定,こてい,"fixation, fixing (e.g., salary, capital)","fiksasi, penetapan (misalnya, gaji, modal)",JLPT_1 JLPT,g$6E|N|S:$
事柄,ことがら,"matter, thing, affair, circumstance","materi, benda, urusan, keadaan",JLPT_1 JLPT,F=ad!I0A}O
孤独,こどく,"isolation, loneliness, solitude","isolasi, kesepian, kesendirian",JLPT_1 JLPT,"cT&=x,mI2c"
ことごとく,ことごとく,"altogether, entirely","sama sekali, seluruhnya",JLPT_1 JLPT,dR[Sxf+^Ps
言付け,ことづけ,to leave a message,untuk meninggalkan pesan,JLPT_1 JLPT,kU+Y{Q}2@W
殊に,ことに,"especially, above all","khususnya, di atas segalanya",JLPT_1 JLPT,en/8|n9S0h
粉々,こなごな,in very small pieces,dalam potongan yang sangat kecil,JLPT_1 JLPT,Kmg$=%neFc
好ましい,このましい,"nice, likable, desirable","bagus, menyenangkan, diinginkan",JLPT_1 JLPT,x#LKH<P4pQ
碁盤,ごばん,Go board,Naiklah,JLPT_1 JLPT,zlA@Kkn)Y
個別,こべつ,particular case,kasus tertentu,JLPT_1 JLPT,IS>`l#g_rF
ごまかす,ごまかす,"to deceive, to falsify, to misrepresent","untuk menipu, untuk memalsukan, untuk menggambarkan secara keliru",JLPT_1 JLPT,p$tB:Q(vZY
細やか,こまやか,"meager, modest","sedikit, sederhana",JLPT_1 JLPT,w6sGv9Z]7>
コマーシャル,コマーシャル,a commercial,sebuah iklan,JLPT_1 JLPT,pmxm=&|P?L
込める,こめる,"to include, to put into","untuk memasukkan, untuk dimasukkan ke dalam",JLPT_1 JLPT,FCbb2pT+SZ
コメント,コメント,comment,komentar,JLPT_1 JLPT,cplDpvT[1o
籠もる,こもる,"to seclude oneself, to be confined in","untuk mengasingkan diri, untuk dikurung",JLPT_1 JLPT,KBSxgcpn$F
固有,こゆう,"characteristic, tradition, peculiar","ciri khas, tradisi, khas",JLPT_1 JLPT,yXV:}D_ozd
暦,こよみ,"calendar, almanac","kalender, almanak",JLPT_1 JLPT,jx:{}3HoK:
凝らす,こらす,"to concentrate, to devote, to peer into","untuk berkonsentrasi, untuk mengabdikan, untuk mengintip ke dalam",JLPT_1 JLPT,oJEMYEm^we
ごらんなさい (かん),ごらんなさい (かん),"look, (please) try to do","lihat, (tolong) coba lakukan",JLPT_1 JLPT,N1BBvCZ=AZ
孤立,こりつ,"isolation, helplessness","isolasi, ketidakberdayaan",JLPT_1 JLPT,xYDSYkNe4i
懲りる,こりる,"to learn by experience, to be disgusted with","untuk belajar dari pengalaman, merasa muak",JLPT_1 JLPT,vbJg<?=y%j
凝る,こる,"to stiffen, to harden","menjadi kaku, mengeras",JLPT_1 JLPT,p)T=z%i7F[
根気,こんき,"patience; perseverance, energy",kesabaran;,JLPT_1 JLPT,GDCM!r*##2
根拠,こんきょ,"basis, foundation","dasar, landasan",JLPT_1 JLPT,Grg-T-@C<M
混血,こんけつ,"mixed race, mixed parentage","ras campuran, keturunan campuran",JLPT_1 JLPT,saDmLPZfe~
コンタクト (レンズ),コンタクト (レンズ),contact; contact lens,kontak;,JLPT_1 JLPT,DU{l0`Yee%
昆虫,こんちゅう,"insect, bug","serangga, serangga",JLPT_1 JLPT,P^F+-mx?ec
根底,こんてい,"root, basis, foundation","akar, dasar, landasan",JLPT_1 JLPT,g6v%#_YbHK
混同,こんどう,"confusion, mixing, merger","kebingungan, pencampuran, penggabungan",JLPT_1 JLPT,"M?|],Xch]L"
コントラスト,コントラスト,contrast,kontras,JLPT_1 JLPT,m2RkdF5Kfg
コントロール,コントロール,control,kontrol,JLPT_1 JLPT,hZ|i&d%@k8
コンパス,コンパス,compass,kompas,JLPT_1 JLPT,L6kv/h{mWx
根本,こんぽん,"foundation, root, base","pondasi, akar, alas",JLPT_1 JLPT,I>Va~AQW*%
